week_start,user_id,run_count,total_distance_km,avg_pace_min_per_km,total_elevation_m,total_running_time_s,avg_cadence,avg_hr,longest_run_km,training_load,target_next_week_pace,target_next_week_km
2005-09-19,614320,3,32.95,4.79,164.6,9479,88.0,148.5,14.68,47.403,4.86,71.05
2005-09-26,614320,6,71.05,4.86,342.9,20703,88.0,136.8,24.1,248.524,4.45,7.57
2005-10-03,614320,1,7.57,4.45,36.9,2022,88.0,136.8,7.57,24.273,5.27,23.67
2005-10-10,614320,3,23.67,5.27,20.7,7489,88.0,136.8,20.6,89.9,5.29,30.02
2005-10-17,614320,5,30.02,5.29,83.6,9526,88.0,136.8,19.1,114.352,5.09,42.5
2005-10-24,614320,1,42.5,5.09,287.7,12971,88.0,136.8,42.5,155.707,5.13,47.04
2005-10-31,614320,4,47.04,5.13,96.8,14483,88.0,136.8,21.14,173.857,4.72,33.59
2005-11-07,614320,4,33.59,4.72,31.3,9502,88.0,136.8,12.36,114.064,5.0,48.1
2005-11-14,614320,4,48.1,5.0,171.0,14432,88.0,136.8,21.26,173.245,5.18,82.34
2005-11-21,614320,5,82.34,5.18,720.8,25571,88.0,136.8,29.4,306.961,5.2,63.7
2005-11-28,614320,4,63.7,5.2,113.4,19860,88.0,136.8,23.34,238.404,4.75,81.14
2005-12-05,614320,6,81.14,4.75,145.1,23105,88.0,136.8,16.27,277.358,4.79,87.05
2005-12-12,614320,5,87.05,4.79,73.8,25021,88.0,139.3,21.44,190.268,4.37,66.52
2005-12-19,614320,5,66.52,4.37,526.9,17431,88.0,147.1,16.26,222.714,4.55,17.64
2005-12-26,614320,2,17.64,4.55,103.4,4816,88.0,134.6,12.4,57.55,4.71,84.59
2006-01-02,614320,6,84.59,4.71,58.3,23927,88.0,136.3,24.46,287.265,4.35,61.46
2006-01-09,614320,5,61.46,4.35,292.6,16038,88.0,138.0,14.57,193.064,3.96,59.5
2006-01-16,614320,4,59.5,3.96,285.5,14153,88.0,138.0,23.54,172.241,4.06,75.76
2006-01-23,614320,7,75.76,4.06,162.2,18446,88.0,140.2,20.77,226.521,4.72,64.33
2006-01-30,614320,5,64.33,4.72,21.6,18217,88.0,131.4,23.29,209.785,4.23,81.38
2006-02-06,614320,6,81.38,4.23,496.3,20671,88.0,139.0,26.42,253.632,4.74,33.16
2006-02-13,614320,3,33.16,4.74,194.5,9437,88.0,134.6,12.34,111.801,4.17,39.21
2006-02-20,614320,4,39.21,4.17,50.6,9820,88.0,147.7,12.45,126.299,3.8,58.2
2006-02-27,614320,4,58.2,3.8,204.3,13279,88.0,140.5,28.78,157.539,4.29,66.63
2006-03-06,614320,4,66.63,4.29,583.4,17158,88.0,139.0,25.87,209.984,3.84,50.61
2006-03-13,614320,3,50.61,3.84,200.5,11675,88.0,135.6,18.79,138.509,4.42,42.57
2006-03-20,614320,4,42.57,4.42,124.1,11299,88.0,135.2,14.07,132.288,4.52,26.89
2006-04-10,614320,2,26.89,4.52,157.7,7290,88.0,157.0,14.51,52.953,3.56,61.16
2006-04-17,614320,4,61.16,3.56,221.8,13062,88.0,151.6,21.1,174.276,4.29,72.52
2006-04-24,614320,4,72.52,4.29,75.3,18657,88.0,143.9,30.14,233.029,4.25,93.45
2006-05-01,614320,6,93.45,4.25,301.5,23810,88.0,138.6,30.66,283.812,3.13,27.0
2006-05-08,614320,2,27.0,3.13,161.9,5069,88.0,137.8,15.41,61.289,4.34,41.66
2006-05-15,614320,3,41.66,4.34,105.0,10842,88.0,140.9,20.71,136.502,3.89,65.91
2006-05-22,614320,3,65.91,3.89,235.4,15369,88.0,147.0,42.53,197.351,3.89,41.28
2006-05-29,614320,3,41.28,3.89,158.6,9641,88.0,142.3,15.82,120.999,3.78,99.24
2006-06-05,614320,6,99.24,3.78,404.0,22530,88.0,140.6,19.95,277.371,4.34,40.97
2006-06-19,614320,4,40.97,4.34,177.6,10665,88.0,138.5,20.0,131.087,4.43,46.15
2006-06-26,614320,4,46.15,4.43,182.4,12263,88.0,135.6,14.3,145.963,3.74,42.13
2006-07-10,614320,3,42.13,3.74,257.3,9444,88.0,143.7,23.06,119.742,3.85,71.98
2006-07-17,614320,5,71.98,3.85,230.1,16645,88.0,145.8,29.32,214.274,4.15,80.76
2006-07-24,614320,5,80.76,4.15,758.9,20092,88.0,140.9,25.85,248.667,4.23,89.54
2006-07-31,614320,5,89.54,4.23,216.0,22724,88.0,136.3,29.9,268.931,4.15,78.56
2006-08-07,614320,5,78.56,4.15,757.9,19567,88.0,142.7,25.85,244.125,4.29,81.53
2006-08-14,614320,5,81.53,4.29,152.6,20994,88.0,140.3,22.96,260.197,3.97,85.33
2006-08-21,614320,5,85.33,3.97,913.7,20328,88.0,135.5,31.98,241.34,3.51,78.21
2006-08-28,614320,8,78.21,3.51,366.2,16469,88.0,136.6,33.83,192.303,3.64,68.54
2006-09-04,614320,11,68.54,3.64,88.1,14963,88.0,142.6,21.02,180.449,4.8,27.96
2006-09-11,614320,1,27.96,4.8,23.6,8060,88.0,135.3,27.96,95.659,3.68,36.72
2006-09-18,614320,13,36.72,3.68,163.5,8099,88.0,140.4,13.62,100.096,4.01,45.41
2006-09-25,614320,5,45.41,4.01,87.8,10940,88.0,146.2,15.96,140.006,3.85,57.13
2006-10-02,614320,6,57.13,3.85,121.1,13214,88.0,142.2,42.01,170.627,4.45,71.33
2006-10-09,614320,7,71.33,4.45,134.8,19061,88.0,134.5,20.84,227.866,4.12,28.86
2006-10-16,614320,9,28.86,4.12,169.2,7142,88.0,146.6,8.01,89.759,3.49,25.15
2006-10-23,614320,3,25.15,3.49,48.6,5273,88.0,151.4,11.98,69.26,3.88,63.26
2006-10-30,614320,12,63.26,3.88,93.8,14740,88.0,146.0,19.88,186.373,3.98,34.43
2006-11-06,614320,4,34.43,3.98,188.4,8228,88.0,159.3,11.01,115.269,4.4,32.79
2006-11-13,614320,7,32.79,4.4,47.3,8647,88.0,157.7,11.97,64.734,3.68,27.14
2006-11-20,614320,4,27.14,3.68,156.6,5991,88.0,141.6,11.04,74.725,3.95,67.92
2006-11-27,614320,5,67.92,3.95,274.7,16081,88.0,137.6,14.87,193.005,4.61,11.97
2006-12-04,614320,1,11.97,4.61,70.2,3314,88.0,145.6,11.97,42.326,3.72,30.07
2006-12-11,614320,6,30.07,3.72,165.6,6708,88.0,143.1,14.91,82.311,3.39,21.29
2006-12-18,614320,2,21.29,3.39,126.0,4324,88.0,148.2,11.56,56.17,4.74,11.93
2006-12-25,614320,1,11.93,4.74,70.0,3397,88.0,148.6,11.93,44.28,4.21,42.9
2007-01-15,614320,5,42.9,4.21,180.6,10838,88.0,146.2,11.82,139.84,3.18,34.35
2007-01-22,614320,4,34.35,3.18,216.9,6550,88.0,146.4,10.91,84.174,4.0,38.86
2007-01-29,614320,4,38.86,4.0,134.8,9326,88.0,148.9,14.01,120.998,4.19,82.16
2007-02-05,614320,6,82.16,4.19,309.5,20636,88.0,140.7,20.91,255.326,4.8,45.85
2007-02-12,614320,4,45.85,4.8,22.6,13211,88.0,141.0,14.0,162.936,4.53,83.4
2007-02-19,614320,8,83.4,4.53,68.2,22679,88.0,142.9,15.96,284.419,3.79,55.94
2007-02-26,614320,10,55.94,3.79,165.4,12733,88.0,138.2,20.91,151.279,3.73,46.64
2007-03-05,614320,14,46.64,3.73,156.9,10434,88.0,134.7,13.1,124.97,3.71,39.18
2007-03-12,614320,3,39.18,3.71,291.6,8711,88.0,141.7,15.49,107.449,3.97,30.64
2007-03-19,614320,3,30.64,3.97,57.0,7305,88.0,141.6,12.98,91.868,3.31,37.95
2007-03-26,614320,4,37.95,3.31,201.6,7542,88.0,140.6,14.06,95.939,4.36,25.91
2007-04-02,614320,2,25.91,4.36,22.9,6774,88.0,143.7,14.0,85.373,4.02,64.65
2007-04-09,614320,5,64.65,4.02,223.3,15604,88.0,137.9,15.12,188.295,4.14,22.99
